Identifier,Remarks,Filter,default,eng enc ena enz eni ens enj enb enl ent enw,cs,da,de,el,eo,es,esm esn esg esc esa esd esv eso esr ess esf esl esy esz esb ese esh esi esu,fi,fr,hr,hu,it,jp,ko,nl,no nb,pl,pt,ptg,ro,ru,sr,sv,tr
WF_CRED_KLIMES,,,Boris Klimeš,,,,,,,,,,,,,,,,,,,,,,Борис Климеш,,,
WF_CRED_BAUMGARDNER,,,Kurt Baumgardner,,,,,,,,,,,,,,,,,,,,,,Курт Баумгарднер,,,
WF_CRED_THORR,,,THORR,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_FLAMBEAU,,,FLAMBEAU,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_UBERGWEI,,,UberGewei,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_KEYBOARD_DOOMER,,,KEYBOARD_DOOMER,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_DEW,,,dew,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_AF_DOMAINS,,,AF-Domains,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_TROPIANO,Legacy of Rust,,Matt Tropiano,,,,,,,,,,,,,,,,,,,,,,Мэтт Тропиано,,,
WF_CRED_BOUVE,,,Andrew 'saar' Bouvé,,,,,,,,,,,,,,,,,,,,,,Эндрю «saar» Буве,,,
WF_CRED_BOYLE,,,Joshua 'tokyopunchout' Boyle,,,,,,,,,,,,,,,,,,,,,,Джошуа «tokyopunchout» Бойл,,,
WF_CRED_POLJO,,,Jonatan Pöljö,,,,,,,,,,,,,,,,,,,,,,Джонатан Пёльё,,,
WF_CRED_CANN,,,Dakota Cann,,,,,,,,,,,,,,,,,,,,,,Дакота Канн,,,
WF_CRED_HODGSON,,,Chris Hodgson,,,,,,,,,,,,,,,,,,,,,,Крис Ходжсон,,,
WF_CRED_BERRONES,,,Roger Berrones,,,,,,,,,,,,,,,,,,,,,,Роджер Берронес,,,
WF_CRED_MOSSHOLDER,,,Chad Mossholder,,,,,,,,,,,,,,,,,,,,,,Чад Моссхолдер,,,
WF_CRED_HULSHULT,,,Andrew Hulshult,,,,,,,,,,,,,,,,,,,,,,Эндрю Хулшулт,,,
WF_CRED_OWLET,WadFusion,,Owlet VII,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_BROWN,,,jdbrown,,,,,,,,,,,,,,,,,,,,,,Джей-Ди Браун,,,
WF_CRED_LEBRETON,,,JP LeBreton,,,,,,,,,,,,,,,,,,,,,,Джей-Пи ЛеБретон,,,
WF_CRED_JOHANSSON,,,Fredrik Johansson,,,,,,,,,,,,,,,,,,,,,,Фредрик Йоханссон,,,
WF_CRED_ACKER,,,Devin Acker,,,,,,,,,,,,,,,,,,,,,,Девин Акер,,,
WF_CRED_MUHANDES,,,Nash Muhandes,,,,,,,,,,,,,,,,,,,,,,Нэш Мухандес,,,
WF_CRED_SHOCKWAVE,,,Shockwave_S08,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_DOMYOJI81,,,domyoji81,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_JUSTTOASK,,,justtoask,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_MEERSCHWEINMANN,,,Meerschweinmann,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_SCUBASTEVE,,,Scuba Steve,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_PHOBOSVB,,,PhobosVB,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_00_ZOMBIE_00,,,00_Zombie_00,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_NIGHTFRIGHT,,,NightFright,,,,,,,,,,,,,,,,,,,,,,,,,
,map author names,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_AU_ROMERO,doom1/2,,John Romero,,,,,,,,,,,,,,,,,,,,,,Джон Ромеро,,,
WF_AU_ROMERO_HALL,,,John Romero & Tom Hall,,John Romero a Tom Hall,John Romero og Tom Hall,John Romero und Tom Hall,,John Romero kaj Tom Hall,John Romero y Tom Hall,,John Romero ja Tom Hall,John Romero et Tom Hall,John Romero és Tom Hall,,John Romero e Tom Hall,,,John Romero en Tom Hall,John Romero og Tom Hall,John Romero i Tom Hall,John Romero e Tom Hall,,John Romero și Tom Hall,Джон Ромеро и Том Холл,,John Romero och Tom Hall,John Romero ve Tom Hall
WF_AU_PETERSEN_HALL,,,Sandy Petersen & Tom Hall,,Sandy Petersen a Tom Hall,Sandy Petersen og Tom Hall,Sandy Petersen und Tom Hall,,Sandy Petersen kaj Tom Hall,Sandy Petersen y Tom Hall,,Sandy Petersen ja Tom Hall,Sandy Petersen et Tom Hall,Sandy Petersen és Tom Hall,,Sandy Petersen e Tom Hall,,,Sandy Petersen en Tom Hall,Sandy Petersen og Tom Hall,Sandy Petersen i Tom Hall,Sandy Petersen e Tom Hall,,Sandy Petersen și Tom Hall,Сэнди Питерсен и Том Холл,,Sandy Petersen och Tom Hall,Sandy Petersen ve Tom Hall
WF_AU_PETERSEN,,,Sandy Petersen,,,,,,,,,,,,,,,,,,,,,,Сэнди Питерсен,,,
WF_AU_MCGEE,,,American McGee,,,,,,,,,,,,,,,,,,,,,,Американ Макги,,,
WF_AU_GREEN,,,Shawn Green,,,,,,,,,,,,,,,,,,,,,,Шон Грин,,,
WF_AU_WILLITS_CHASAR,,,Tim Willits & Theresa Chasar,,Tim Willits a Theresa Chasar,Tim Willits og Theresa Chasar,Tim Willits und Theresa Chasar,,Tim Willits kaj Theresa Chasar,Tim Willits y Theresa Chasar,,Tim Willits ja Theresa Chasar,Tim Willits et Theresa Chasar,Tim Willits és Theresa Chasar,,Tim Willits e Theresa Chasar,,,Tim Willits en Theresa Chasar,Tim Willits og Theresa Chasar,Tim Willits i Theresa Chasar,Tim Willits e Theresa Chasar,,Tim Willits și Theresa Chasar,Тим Уиллитс и Тереза Часар,,Tim Willits och Theresa Chasar,Tim Willits ve Theresa Chasar
WF_AU_ANDERSON,,,John Anderson,,,,,,,,,,,,,,,,,,,,,,Джон Андерсон,,,
WF_AU_WILLITS,,,Tim Willits,,,,,,,,,,,,,,,,,,,,,,Тим Уиллитс,,,
WF_AU_MCGEE_PETERSEN,,,American McGee & Sandy Petersen,,American McGee a Sandy Petersen,American McGee og Sandy Petersen,American McGee und Sandy Petersen,,American McGee kaj Sandy Petersen,American McGee y Sandy Petersen,,American McGee ja Sandy Petersen,American McGee et Sandy Petersen,American McGee és Sandy Petersen,,American McGee e Sandy Petersen,,,American McGee en Sandy Petersen,American McGee og Sandy Petersen,American McGee i Sandy Petersen,American McGee e Sandy Petersen,,American McGee și Sandy Petersen,Американ Макги и Сэнди Питерсен,,American McGee och Sandy Petersen,American McGee ve Sandy Petersen
WF_AU_KLIE,master levels,,Christen Klie,,,,,,,,,,,,,,,,,,,,,,Кристен Кли,,,
WF_AU_MUSTAINES,,,Tom & Bob Mustaine,,Tom a Bob Mustaine,Tom og Bob Mustaine,Tom und Bob Mustaine,,Tom kaj Bob Mustaine,Tom y Bob Mustaine,,Tom ja Bob Mustaine,Tom et Bob Mustaine,Tom és Bob Mustaine,,Tom e Bob Mustaine,,,Tom en Bob Mustaine,Tom og Bob Mustaine,Tom i Bob Mustaine,Tom e Bob Mustaine,,Tom și Bob Mustaine,Том и Боб Мастейн,,Tom och Bob Mustaine,Tom ve Bob Mustaine
WF_AU_FLYNN,,,Jim Flynn,,,,,,,,,,,,,,,,,,,,,,Джим Флинн,,,
WF_AU_KVERNMO,,,Sverre André Kvernmo,,,,,,,,,,,,,,,,,,,,,,Сверре Андре Квернмо,,,
WF_AU_KVERNMO_HYNE,,,Sverre André Kvernmo & Gregory Lee Hyne,,Sverre André Kverno a Gregory Lee Hyne,Sverre André Kverno og Gregory Lee Hyne,Sverre André Kverno und Gregory Lee Hyne,,Sverre André Kverno kaj Gregory Lee Hyne,Sverre André Kverno y Gregory Lee Hyne,,Sverre André Kverno ja Gregory Lee Hyne,Sverre André Kverno et Gregory Lee Hyne,Sverre André Kverno és Gregory Lee Hyne,,Sverre André Kverno e Gregory Lee Hyne,,,Sverre André Kverno en Gregory Lee Hyne,Sverre André Kverno og Gregory Lee Hyne,Sverre André Kverno i Gregory Lee Hyne,Sverre André Kverno e Gregory Lee Hyne,,Sverre André Kverno și Gregory Lee Hyne,Сверре Андре Квернмо и Грегори Ли Хайн,,Sverre André Kverno och Gregory Lee Hyne,Sverre André Kverno ve Gregory Lee Hyne
WF_AU_MEAKIM,nerve,,Russell Meakim,,,,,,,,,,,,,,,,,,,,,,Рассел Миким,,,
WF_AU_IWAKURA,,,Arya Iwakura,,,,,,,,,,,,,,,,,,,,,,Арья Ивакура,,,
WF_AU_WAKELIN,tnt + plutonia,,John Wakelin,,,,,,,,,,,,,,,,,,,,,,Джон Уэйклин,,,
WF_AU_PATENALL_MINADEO,,,Robin Patenall & John Minadeo,,Robin Patenall a John Minadeo,Robin Patenall og John Minadeo,Robin Patenall und John Minadeo,,Robin Patenall kaj John Minadeo,Robin Patenall y John Minadeo,,Robin Patenall ja John Minadeo,Robin Patenall et John Minadeo,Robin Patenall és John Minadeo,,Robin Patenall e John Minadeo,,,Robin Patenall en John Minadeo,Robin Patenall og John Minadeo,Robin Patenall i John Minadeo,Robin Patenall e John Minadeo,,Robin Patenall și John Minadeo,Робин Патеналл и Джон Минадео,,Robin Patenall och John Minadeo,Robin Patenall ve John Minadeo
WF_AU_HALDERMAN,,,Ty Halderman,,,,,,,,,,,,,,,,,,,,,,Тай Халдерман,,,
WF_AU_DETHLEFSEN,,,Jim Dethlefsen,,,,,,,,,,,,,,,,,,,,,,Джим Детлефсен,,,
WF_AU_SIEBEN_HALDERMAN,,,Jimmy Sieben & Ty Halderman,,Jimmy Sieben a Ty Halderman,Jimmy Sieben og Ty Halderman,Jimmy Sieben und Ty Halderman,,Jimmy Sieben kaj Ty Halderman,Jimmy Sieben y Ty Halderman,,Jimmy Sieben ja Ty Halderman,Jimmy Sieben et Ty Halderman,Jimmy Sieben és Ty Halderman,,Jimmy Sieben e Ty Halderman,,,Jimmy Sieben en Ty Halderman,Jimmy Sieben og Ty Halderman,Jimmy Sieben i Ty Halderman,Jimmy Sieben e Ty Halderman,,Jimmy Sieben și Ty Halderman,Джимми Сибен и Тай Халдерман,,Jimmy Sieben och Ty Halderman,Jimmy Sieben ve Ty Halderman
WF_AU_DOWSWELL,,,Andrew Dowswell,,,,,,,,,,,,,,,,,,,,,,Эндрю Даусвелл,,,
WF_AU_MINADEO,,,John Minadeo,,,,,,,,,,,,,,,,,,,,,,Джон Минадео,,,
WF_AU_JOHNSON,,,Dean Johnson,,,,,,,,,,,,,,,,,,,,,,Дин Джонсон,,,
WF_AU_LOWELL,,,Jim Lowell,,,,,,,,,,,,,,,,,,,,,,Джим Лоуэлл,,,
WF_AU_KIDBY_HALDERMAN,,,Brian Kidby & Ty Halderman,,Brian Kidby a Ty Halderman,Brian Kidby og Ty Halderman,Brian Kidby und Ty Halderman,,Brian Kidby kaj Ty Halderman,Brian Kidby y Ty Halderman,,Brian Kidby ja Ty Halderman,Brian Kidby et Ty Halderman,Brian Kidby és Ty Halderman,,Brian Kidby e Ty Halderman,,,Brian Kidby en Ty Halderman,Brian Kidby og Ty Halderman,Brian Kidby i Ty Halderman,Brian Kidby e Ty Halderman,,Brian Kidby și Ty Halderman,Брайан Кидби и Тай Халдерман,,Brian Kidby och Ty Halderman,Brian Kidby ve Ty Halderman
WF_AU_PATENALL,,,Robin Patenall,,,,,,,,,,,,,,,,,,,,,,Робин Патеналл,,,
WF_AU_WHITAKER,,,William D. Whitaker,,,,,,,,,,,,,,,,,,,,,,Уильям Д. Уитакер,,,
WF_AU_ARSENAULT,,,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,Андре Арсено,,,
